C-17 POPULATION BY BILINGUALISM AND TRILINGUALISM,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
State,State name,Total speakers of languages,,,,,Number of speakers speaking subsidiary languages      (1st language),,,,,Number of speakers speaking subsidiary languages      (2nd language),,,,
Code,,Code,Name,Persons,Males,Females,Code,1 st subsidiary languages,Persons,Males,Females,Code,2nd subsidiary languages,Persons,Males,Females
00,INDIA,,,,,,021000,TELUGU ,244,142,102,,,,,
00,INDIA,,,,,,,,,,,002000,BENGALI ,2,2,0
00,INDIA,,,,,,,,,,,006000,HINDI ,70,37,33
00,INDIA,,,,,,,,,,,007000,KANNADA,4,2,2
00,INDIA,,,,,,,,,,,011000,MALAYALAM,1,1,0
00,INDIA,,,,,,,,,,,015000,ODIA ,6,3,3
00,INDIA,,,,,,,,,,,040000,ENGLISH ,15,9,6
00,INDIA,,,,,,022000,URDU,3469,2586,883,,,,,
00,INDIA,,,,,,,,,,,002000,BENGALI ,502,390,112
00,INDIA,,,,,,,,,,,005000,GUJARATI,13,12,1
00,INDIA,,,,,,,,,,,006000,HINDI ,653,518,135
00,INDIA,,,,,,,,,,,007000,KANNADA,1,1,0
00,INDIA,,,,,,,,,,,014000,NEPALI ,2,2,0
00,INDIA,,,,,,,,,,,015000,ODIA ,2,1,1
00,INDIA,,,,,,,,,,,017000,SANSKRIT ,1,1,0
00,INDIA,,,,,,,,,,,028000,ARABIC/ARBI ,318,296,22
00,INDIA,,,,,,,,,,,040000,ENGLISH ,120,87,33
00,INDIA,,,,,,,,,,,043000,GARO ,1,1,0
00,INDIA,,,,,,,,,,,123000,ZOU ,1,0,1
00,INDIA,,,,,,,,,,,124000,OTHERS,5,3,2
00,INDIA,,,,,,023000,ADI ,263,145,118,,,,,
00,INDIA,,,,,,,,,,,002000,BENGALI ,15,10,5
00,INDIA,,,,,,,,,,,006000,HINDI ,71,34,37
00,INDIA,,,,,,,,,,,014000,NEPALI ,2,1,1
00,INDIA,,,,,,,,,,,040000,ENGLISH ,2,0,2
00,INDIA,,,,,,,,,,,087000,MIRI/MISHING,1,1,0
00,INDIA,,,,,,,,,,,124000,OTHERS,7,4,3
00,INDIA,,,,,,024000,AFGHANI/KABULI/PASHTO ,5,2,3,,,,,
00,INDIA,,,,,,026000,ANGAMI ,62,25,37,,,,,
00,INDIA,,,,,,,,,,,006000,HINDI ,10,6,4
00,INDIA,,,,,,,,,,,012000,MANIPURI ,1,1,0
00,INDIA,,,,,,,,,,,027000,AO ,1,0,1
00,INDIA,,,,,,,,,,,040000,ENGLISH ,15,6,9
00,INDIA,,,,,,,,,,,081000,LOTHA ,1,0,1
00,INDIA,,,,,,027000,AO ,348,181,167,,,,,
00,INDIA,,,,,,,,,,,002000,BENGALI ,8,5,3
00,INDIA,,,,,,,,,,,006000,HINDI ,37,22,15
00,INDIA,,,,,,,,,,,040000,ENGLISH ,26,13,13
00,INDIA,,,,,,,,,,,081000,LOTHA ,4,3,1
00,INDIA,,,,,,,,,,,124000,OTHERS,1,1,0
00,INDIA,,,,,,028000,ARABIC/ARBI ,6265,3970,2295,,,,,
00,INDIA,,,,,,,,,,,002000,BENGALI ,431,280,151
00,INDIA,,,,,,,,,,,005000,GUJARATI,8,8,0
00,INDIA,,,,,,,,,,,006000,HINDI ,993,669,324
00,INDIA,,,,,,,,,,,014000,NEPALI ,4,3,1
00,INDIA,,,,,,,,,,,016000,PUNJABI ,1,0,1
00,INDIA,,,,,,,,,,,017000,SANSKRIT ,1,1,0
00,INDIA,,,,,,,,,,,022000,URDU,380,349,31
00,INDIA,,,,,,,,,,,027000,AO ,2,2,0
00,INDIA,,,,,,,,,,,040000,ENGLISH ,434,268,166
00,INDIA,,,,,,030000,BHILI/BHILODI ,17,10,7,,,,,
00,INDIA,,,,,,,,,,,006000,HINDI ,3,2,1
00,INDIA,,,,,,031000,BHOTIA ,16,6,10,,,,,
00,INDIA,,,,,,,,,,,002000,BENGALI ,3,1,2
00,INDIA,,,,,,,,,,,006000,HINDI ,3,1,2
00,INDIA,,,,,,,,,,,124000,OTHERS,1,0,1
00,INDIA,,,,,,032000,BHUMIJ ,30,16,14,,,,,
00,INDIA,,,,,,,,,,,006000,HINDI ,5,3,2
00,INDIA,,,,,,,,,,,015000,ODIA ,16,8,8
00,INDIA,,,,,,033000,BISHNUPURIYA,14,8,6,,,,,
00,INDIA,,,,,,,,,,,006000,HINDI ,5,3,2
00,INDIA,,,,,,,,,,,012000,MANIPURI ,2,1,1
00,INDIA,,,,,,,,,,,040000,ENGLISH ,1,1,0
00,INDIA,,,,,,034000,CHAKHESANG ,10,7,3,,,,,
00,INDIA,,,,,,,,,,,006000,HINDI ,1,1,0
00,INDIA,,,,,,,,,,,026000,ANGAMI ,3,3,0
00,INDIA,,,,,,,,,,,040000,ENGLISH ,4,2,2
00,INDIA,,,,,,,,,,,105000,SANGTAM ,1,1,0
00,INDIA,,,,,,035000,CHAKRU/CHOKRI ,9,4,5,,,,,
00,INDIA,,,,,,,,,,,006000,HINDI ,1,0,1
00,INDIA,,,,,,,,,,,026000,ANGAMI ,3,2,1
00,INDIA,,,,,,,,,,,040000,ENGLISH ,1,0,1
00,INDIA,,,,,,036000,CHANG ,4,2,2,,,,,
00,INDIA,,,,,,037000,COORGI/KODAGU ,11,7,4,,,,,
00,INDIA,,,,,,,,,,,006000,HINDI ,2,2,0
00,INDIA,,,,,,,,,,,007000,KANNADA,7,4,3
00,INDIA,,,,,,038000,DEORI ,1633,818,815,,,,,
00,INDIA,,,,,,,,,,,002000,BENGALI ,3,1,2
